date,category,quota,price,total_bids,success_bids,population,registration,deregistration,cpi_car,cpi_transport,cpi_petrol,cpi_car_pct_change,cpi_transport_pct_change,cpi_petrol_pct_change,month,bid_quota_ratio,quota_pct_change,price_pct_change,total_bids_pct_change,success_bids_pct_change
2015-09-23,Cat B (Cars above 1600cc or 97kW),1058,60001,1371,1041,280394.0,2437.0,2308.0,108.33,98.656,90.771,-0.4,-0.1,-1.6,9,1.2958412098298677,-0.0009442870632672129,-0.033815880581633095,-0.1578624078624079,-0.016068052930056753
2015-10-07,Cat B (Cars above 1600cc or 97kW),1057,58190,1373,1044,280293.0,2428.0,2529.0,107.519,98.755,90.999,-0.7,0.1,0.3,10,1.2989593188268684,-0.000945179584120992,-0.030182830286161866,0.0014587892049597873,0.0028818443804035088
2015-10-21,Cat B (Cars above 1600cc or 97kW),1073,59889,1367,1069,280293.0,2428.0,2529.0,107.519,98.755,90.999,-0.7,0.1,0.3,10,1.2739981360671015,0.015137180700094621,0.029197456607664485,-0.004369992716678817,0.023946360153256796
2015-11-04,Cat B (Cars above 1600cc or 97kW),1037,57501,1267,1031,280256.0,2597.0,2634.0,108.141,98.791,89.698,0.6,0.0,-1.4,11,1.2217936354869816,-0.033550792171481825,-0.0398737664679657,-0.07315288953913679,-0.03554724041159962
2015-11-18,Cat B (Cars above 1600cc or 97kW),1029,61103,1388,1026,280256.0,2597.0,2634.0,108.141,98.791,89.698,0.6,0.0,-1.4,11,1.3488824101069,-0.0077145612343297865,0.06264238882802031,0.09550118389897388,-0.004849660523763344
2015-12-09,Cat B (Cars above 1600cc or 97kW),1031,60001,1324,1028,280261.0,2688.0,2683.0,107.275,98.559,87.603,-0.8,-0.2,-2.3,12,1.2841901066925314,0.0019436345966958868,-0.018035121025154255,-0.04610951008645536,0.0019493177387914784
2015-12-23,Cat B (Cars above 1600cc or 97kW),1027,55001,1200,1025,280261.0,2688.0,2683.0,107.275,98.559,87.603,-0.8,-0.2,-2.3,12,1.1684518013631937,-0.0038797284190106307,-0.08333194446759218,-0.09365558912386707,-0.0029182879377431803
2016-01-06,Cat B (Cars above 1600cc or 97kW),1027,54920,1262,1019,280312.0,3111.0,3060.0,105.257,96.792,84.967,-1.9,-1.8,-3.0,1,1.2288218111002922,0.0,-0.0014727004963546175,0.05166666666666675,-0.005853658536585371
2016-01-20,Cat B (Cars above 1600cc or 97kW),1026,50089,1334,1026,280312.0,3111.0,3060.0,105.257,96.792,84.967,-1.9,-1.8,-3.0,1,1.3001949317738792,-0.0009737098344693162,-0.08796431172614716,0.05705229793977806,0.006869479882237517
2016-02-03,Cat B (Cars above 1600cc or 97kW),1216,38610,1624,1216,280221.0,2488.0,2579.0,101.283,95.373,81.813,-3.8,-1.5,-3.7,2,1.3355263157894737,0.18518518518518512,-0.22917207370879833,0.21739130434782616,0.18518518518518512
